id_answer,id_website,id_subquestion,id_person,answer,spray_number,timestamp,certainty
29587,1282,27466,93673,"lakes and hills, have not included farmed /managed land or roads",1,"2023-08-23 14:43:08",9
29588,1282,27466,93662,"Tried to select the 'wilder' / unmanaged areas...",1,"2023-08-23 14:43:58",4
29589,1282,27467,93673,"all of it - diversity of natural and farmed / managed land and lakes support a mixed economy and bio diversity",1,"2023-08-23 14:44:39",9
29590,1282,27467,93662,"Almost all; though this is with a limited knowledge of the local area",1,"2023-08-23 14:45:27",5
29591,1282,27468,93662,"Have chosen higher areas; once again, am not that knowledgeable, but increasing the amount of tress /forest seems key to aiding sustainable eco-systems / supporting 'nature",1,"2023-08-23 14:47:56",6
29592,1282,27469,93673,"wouldnt want access to the lakes resricted ",1,"2023-08-23 14:48:25",8
29593,1282,27469,93662,"maintaining current views of the lakes",1,"2023-08-23 14:48:51",7
29594,1282,27466,93674,"Maybe the lakes. All of the rest is designed by man. Maybe even these lakes are.",1,"2023-08-23 15:00:23",10
29595,1282,27467,93674,"I love it all, it just isn't natural",1,"2023-08-23 15:01:10",10
29596,1282,27468,93674,"I've tried to indicate the bare hills. I'd quite like to see them as they may have been before farmers and sheep",1,"2023-08-23 15:03:04",9
29597,1282,27469,93674,"I don't wish to see housing lost to trees",1,"2023-08-23 15:04:08",9
29598,1282,27466,93676,"I am trying to give an image that plays with the idea that the intervention of human's may also be seen as 'natural'",1,"2023-08-23 15:15:10",7
29599,1282,27467,93676,"again I am trying to give a sense that the presence of people and buildings offer employment and a way yo stay in the area while areas that do not contain human interventions are also valuable regarding bio-diversity",1,"2023-08-23 15:17:35",7
29600,1282,27468,93676,"more trees on the lower slopes of the hills but must be 'local' ",1,"2023-08-23 15:18:39",5
29601,1282,27469,93676,"on the very tops of hills",1,"2023-08-23 15:19:07",4
29602,1282,27466,93677,"The areas that do not have obvious human development on them. I am taking it on good faith that these areas have no human development.",1,"2023-08-23 15:46:58",5
29603,1282,27467,93677,"Dove cottage for its historic value, it was made a trust that bought it after the island in the lake was bought, and people worried about the landscape disappearing, so obvious value. The mountains are what give the lakes, so important to the local ecosystem and economy.",1,"2023-08-23 15:49:12",9
29604,1282,27468,93677,"These are area I assume would naturally have trees, but I may be wrong.",1,"2023-08-23 15:49:52",4
29605,1282,27469,93677,"These are areas I assume would not naturally have trees.",1,"2023-08-23 15:50:48",5
29609,1282,27467,93690,"Water bodies and woodland whether natural or manmade are essential 'tools' to manage the landscape.",1,"2023-08-24 11:22:12",10
29610,1282,27468,93690,"Trees have been removed from hills and mountains by intensive sheep grazing, which has reduced natural biodiversity and destroyed natural river catchments.  This has to be reversed!",1,"2023-08-24 11:24:17",10
29611,1282,27466,93691,"Areas of green and dark green I interpreted as nature. Blue I interpreted as nature as although it isn't accessible to humans, there would still be nature present through wildlife. ",1,"2023-08-24 11:45:15",7
29612,1282,27467,93691,"Areas of dark green and blue I interpreted as most valuable areas of landscape. I assumed that these areas would hold higher biodiversity potential for habitat space and food sources.",1,"2023-08-24 11:47:34",8
29613,1282,27468,93691,"These sites appeared to me as empty fields, Sites to the upper right and central and bottom left of the map I perceived to be hilltops where trees may not be suitable due to high winds/ rock/stone soils",1,"2023-08-24 11:49:38",6
29614,1282,27469,93691,"These were areas I perceived to be high hilltop areas which I was not sure would be suitable for tree placement. High winds during autumn/ winter seasons and rocky soils could be unsuitable for tree species? Also rain runoff could maybe erode tree roots and cause uprooting??",1,"2023-08-24 11:52:38",3
29615,1282,27466,93694,"trees and water systems are ""more"" natural than the rest of the environment which has been managed by humans for centuries. in that sense none of this is natural.",1,"2023-08-24 12:03:46",7
29616,1282,27466,93693,"Mostly scree and rock/crags formed by ice age.  I find that most trees are not necessarily native to the area.",1,"2023-08-24 12:05:08",5
29617,1282,27467,93694,"the natural resources of trees for carbon sequestration and the water for the sustaining of plants and animals.",1,"2023-08-24 12:07:03",8
29618,1282,27467,93693,"I have taken the view of landscape to be a resource for tourism, farming and water supply.
The hills are valuable to the landscape for tourism and flora and fauna.",1,"2023-08-24 12:10:50",7
29619,1282,27468,93694,"linking the existing tree cover into one contiguous space, this will help the creation of a suitable habitat for a range of animals and plants and increase the carbon capture. trees need to be a diverse mix to encourage diverse environment.",1,"2023-08-24 12:11:00",8
29620,1282,27468,93693,"Only if they are native trees.  Could plant more on slopes to stop erosion and increase fauna habitat.",1,"2023-08-24 12:13:31",4
29621,1282,27469,93693,"Would probably not plant on top of the hills because of the topography and the beauty of the landscape.",1,"2023-08-24 12:16:16",5
29622,1282,27466,93698,"What is nature, what is natural, are trees 'grown', are sheep natural? the landscape is changed by its inhabitants; people, animals, trees.",1,"2023-08-24 13:29:54",10
29623,1282,27467,93698,"All is valuable. For me, though, what I appreciate the most is places where I can find peace and beauty.",1,"2023-08-24 13:31:15",10
29624,1282,27469,93698,"no more trees needed...",1,"2023-08-24 13:33:31",10
29625,1282,27466,93697,"Grasmere has long established woodland that support a thriving red squirrel population. Some of the trees are hundreds of years old.
The less dense dots depict the moorland - although this is not entirely natural as sheep are kept here and are not necessarily considered natural to the environment.",1,"2023-08-24 15:50:12",6
29626,1282,27466,93699,"Wild woodland, the lakes, rivers, tarns, ancient woodland, rocks",1,"2023-08-24 15:50:48",3
29627,1282,27466,93707,"I chose this area as I perceive post glacial water bodies to be the most natural part of the landscape.",1,"2023-08-24 15:52:54",2
29628,1282,27466,93697,"Lakes are natural in the landscape, although Grasmere Lake has a weir, so is bigger as a result of intervention. I don't think Rydal has a weir",4,"2023-08-24 15:53:45",5
29629,1282,27467,93699,"I think the village community is very important, the village school, the local housing for residents, the local shops, the tourist facilities which are well managed, the Museums and Visitors Centres, car parks are very important to manage tourists, ",1,"2023-08-24 15:55:29",5
29630,1282,27467,93697,"The wooded areas for animal habitat - particularly red squirrels.",4,"2023-08-24 15:55:45",10
29631,1282,27467,93707,"The Coffin Route loop - for historical landscape. The water bodies for biodiversity etc. The village - for recreation, historical value etc. ",1,"2023-08-24 15:56:05",3
29632,1282,27467,93697,"The lakes - it is the Lake District!! Habitats for animals, including birds, fish and mammals, including otters.",5,"2023-08-24 15:57:13",10
29633,1282,27469,93707,"To protect the views.",2,"2023-08-24 15:57:56",10
29634,1282,27467,93697,"The fells for recreation and enjoyment of walkers",6,"2023-08-24 15:58:14",10
29635,1282,27469,93699,"I  have selected around the village and also places around the lake where the views might be obstructed. When planting trees I think it will be impoortant to create managed viewpoints ",1,"2023-08-24 15:58:29",5
29636,1282,27468,93697,"More trees for squirrel corridors",1,"2023-08-24 15:59:10",8
29637,1282,27469,93697,"Not a fan of covering the fells in trees. ",1,"2023-08-24 15:59:55",7
29638,1282,27466,93727,"Lots the mountainous areas have been stripped of natural flora by sheep, so I would see them as 'less natural' than areas lower down. There are lots of birds around both lakes and on White Moss, and up the side of Loughrigg and Silver Howe, so I would class them as 'more natural'",1,"2023-08-25 09:36:23",5
29639,1282,27467,93727,"I would say museums and houses like Dove Cottage, Rydal Mount and Allan Bank have unique cultural value, as heritage sites. The villages of Grasmere and Rydal are local homes (second/holiday homes in the village and on the right side of Grasmere lake are less important). The mountains and lakes are important natural areas and places people to relax. The lakes, for instance, are where people swim, paddleboard and go out in boats (this is important to me personally).",1,"2023-08-25 09:40:07",7
29640,1282,27468,93727,"There ought to be more trees everywhere generally, particularly on the mountainsides. trees on the fields closest to the lake may help lessen flooding in the area, and keep the valley cooler in hot weather - flooding and high temperatures will become more common in the near future, due to climate change",1,"2023-08-25 09:42:10",7
29641,1282,27469,93727,"Local farming needs land and resources, so it's important not the strip farmers of all their resources. Trees would also not survive well on the very tops of the fells",1,"2023-08-25 09:43:41",4
29642,1282,27466,93726,"based on the museum demarcated on the map ",1,"2023-08-25 09:49:24",2
29643,1282,27466,93729,"I see the hills around Grasmere as more natural than the villages and surrounds, which are developed - though very pretty.",1,"2023-08-25 09:51:34",4
29644,1282,27467,93726,"i see natural areas as valuable - the lakes obviously in the lake district and forests, and then natural trust areas and heritage areas ",1,"2023-08-25 09:52:44",10
29645,1282,27467,93729,"I've shaded lake surrounds as I assume they're rich in natural diversity (although often developed) and the areas I perceive to be more wild.",1,"2023-08-25 09:52:54",3
29646,1282,27468,93726,"trees are helpful everywhere especially in the face of climate change! ",1,"2023-08-25 09:54:45",10
29647,1282,27468,93729,"I assume the mountains are naturally barren, but the lower regions have been more developed and could benefit from some rewilding. But if the mountains are also barren due to grazing, then more trees up there too! Basically, I like to see more trees where it's natural - and ecologically valuable - for them to be.",1,"2023-08-25 09:55:46",6
29648,1282,27466,93731,"fells,woodland etc i consider to be natural",1,"2023-08-25 10:12:04",8
29649,1282,27467,93731,"i like to walk to places but the scenery is valuable just to be able to stand and admire the views.",1,"2023-08-25 10:14:22",10
29650,1282,27466,93734,,1,"2023-08-25 11:25:06",5
29651,1282,27467,93734,,1,"2023-08-25 11:26:19",2
29652,1282,27466,93732,"Areas away from shops, buildings etc. Quiet areas away from traffic and roads.",1,"2023-08-25 11:26:56",7
29653,1282,27468,93734,everywhere,1,"2023-08-25 11:27:11",8
29654,1282,27467,93732,"Trees and bodies of water are valuable. Village of Grasmere will bring money into the local community. ",1,"2023-08-25 11:28:50",7
29655,1282,27468,93732,"Areas of open space",1,"2023-08-25 11:29:17",5
29656,1282,27468,93732,"Area of open space",2,"2023-08-25 11:29:40",6
29657,1282,27466,93742,"the beautiful countryside of the lakes was highlightd",1,"2023-08-25 11:46:17",4
29658,1282,27467,93742,"the lakes in itself is breathtaking",1,"2023-08-25 11:48:38",4
29659,1282,27468,93742,"just a guess",1,"2023-08-25 11:49:02",2
29660,1282,27466,93741,"Water, Rock, soil, trees",1,"2023-08-25 12:00:16",7
29661,1282,27466,93743,"fells most forest",1,"2023-08-25 12:00:58",7
29662,1282,27467,93743,"all of the landscapein such a beautiful area manmade or not",1,"2023-08-25 12:03:44",9
29663,1282,27467,93741,"Fell Walking, swimming lakes and tarns, cycling, enjoying the view of landscape through the seasons. Singing in Rydal Cave with a choir.",1,"2023-08-25 12:03:54",8
29664,1282,27468,93741,"Unforested areas. Unsure as this would create a different landscape.",1,"2023-08-25 12:06:12",2
29665,1282,27469,93741,"Part of me would like to keep the scenery as wonderful as it is. In contrast to what I perceive as good for the environment.",1,"2023-08-25 12:08:14",5
29666,1282,27468,93743,"not conifer indigenous native treesbest",1,"2023-08-25 12:09:31",5
29667,1282,27466,93745,,1,"2023-08-25 13:22:36",5
29668,1282,27467,93745,,1,"2023-08-25 13:23:29",8
29669,1282,27468,93745,"THis is a difficult question. Trees would probably enhance the ecosystem, but changes in what is perceived as 'how the Lake District' looks would be controversial.",2,"2023-08-25 13:28:09",5
29670,1282,27466,93744,"everything except the city",1,"2023-08-25 14:13:32",8
29671,1282,27466,93747,"everywhere except the city and agricultural areas.",1,"2023-08-25 14:15:02",7
29672,1282,27467,93744,"economic value : fields
cultural and landscape value : everything",1,"2023-08-25 14:16:07",5
29673,1282,27466,93749,"everyzhere excelpt villqges",1,"2023-08-25 14:16:18",3
29674,1282,27467,93747,"everything is valuable in some way, shape or form. the natural aspect of it doesn't define its value.",1,"2023-08-25 14:16:45",9
29675,1282,27468,93744,"uphill to reduce erosion",1,"2023-08-25 14:17:34",7
29676,1282,27467,93749,"very vqluqble landscqpe everyzhere",1,"2023-08-25 14:17:47",9
29677,1282,27469,93744,"keep the fields open",1,"2023-08-25 14:19:04",7
29678,1282,27468,93747,"on the sides of the fells, where we see the sheep today as well as ferns instead of trees.",1,"2023-08-25 14:19:11",8
29679,1282,27469,93749,"in the summits",1,"2023-08-25 14:20:38",10
29680,1282,27469,93747,"where there are already trees and where the land is used for agricultural purposes (maybe that land is needed for someone's livelihood ?)",1,"2023-08-25 14:23:22",5
29681,1282,27466,93752,"Most of the landscape has been altered by farming, sheep. Even upper land has been affected by mining in this valley.",1,"2023-08-25 14:34:08",7
29682,1282,27467,93752,"Have concentrated on areas I have grown tio love in this area, favourite walks, lockdown routes etc.",1,"2023-08-25 14:38:20",7
29683,1282,27468,93752,"Would be nice to increase some of the existing woodland areas. Not everywhere is suitable for woodland growth, and personally, I do like the bare landscape as well.",1,"2023-08-25 14:41:19",8
29684,1282,27469,93752,"I'd like some new mixed woodland but there are a couple of spots where I'd like to keep some unwooded areas.",1,"2023-08-25 14:51:02",6
29685,1282,27466,93754,"Places largely untouched by humans - I specifically avoided the roads and towns. ",1,"2023-08-25 15:07:30",8
29686,1282,27467,93754,"The hills, forests and lakes. Hills are outstanding areas of natural beauty, forests provide oxygen which is essential for human life, and lakes provide water. ",1,"2023-08-25 15:09:08",8
29687,1282,27466,93751,"walking and swimming",1,"2023-08-25 15:09:30",8
29688,1282,27468,93754,"Around the lakes - it just looks so beautiful seeing trees next to water, and along roads to reduce noise pollution. ",1,"2023-08-25 15:10:29",8
29689,1282,27467,93751,"beautiful walking and mindful spaces ion nature",1,"2023-08-25 15:11:02",9
29690,1282,27469,93754,"Trees on top of the fells would prevent good views, but of course this is a slightly superficial claim. ",1,"2023-08-25 15:11:11",3
29691,1282,27468,93751,"along the lake to support reduction of noise pollution",1,"2023-08-25 15:11:55",10
29692,1282,27466,93772,"not manmade. fields have been left as they always have been - except for the stone walling and the villages and hamlets - the buildings are not included in my spraying.",1,"2023-08-26 10:47:13",7
29693,1282,27467,93772,"all of it is crucial to preserve. ",1,"2023-08-26 10:49:38",10
