,id_answer,id_website,id_subquestion,id_person,answer,spray_number,timestamp,certainty,terms
87,29557,1282,27468,93617,I would supportre-introduction of broad-leaved /indigenous tree species  in certain areas/valley bottoms/near streams/rivers as a way of boosting wildlife /providing more sheltered habitats ,1,2023-08-22 14:27:33,7,"river,wildlife,habitat"
89,29559,1282,27468,93615,"I feel the fells seem uncharacteristically bare and I wonder if humans have influenced this. I'd love more wild forests in general, as long as we avoid monocultures.",1,2023-08-22 14:30:00,4,human
94,29564,1282,27468,93638,Reforesting on the slopes of the fells,1,2023-08-23 09:18:27,6,
95,29565,1282,27469,93638,"On the highest ground - more difficult to climb/views, a selfish motivation perhaps!",1,2023-08-23 09:19:30,3,
96,29566,1282,27468,93637,"Trees are important for wildlife, combat impact of deforestation ",1,2023-08-23 09:19:32,6,
99,29569,1282,27468,93639,"I'm not sure if they are mountainous or not, but I'm all for expanding the forest",1,2023-08-23 10:06:25,1,
102,29572,1282,27469,93642,Everywhere is good for trees but the town seems to have lots/enough,1,2023-08-23 10:24:21,9,
105,29575,1282,27468,93640,,1,2023-08-23 10:42:38,7,
106,29576,1282,27469,93640,,1,2023-08-23 10:43:12,8,
113,29583,1282,27468,93654,Greenery is always a great for all aspects of the bio system,1,2023-08-23 11:54:00,7,
115,29585,1282,27468,93663,"throughout the middle ground.  not by the lakeshores, not on the upper fells",1,2023-08-23 13:27:34,9,lakeshore
116,29586,1282,27469,93663,,1,2023-08-23 13:30:53,9,
121,29591,1282,27468,93662,"Have chosen higher areas; once again, am not that knowledgeable, but increasing the amount of tress /forest seems key to aiding sustainable eco-systems / supporting 'nature",1,2023-08-23 14:47:56,6,nature
122,29592,1282,27469,93673,wouldnt want access to the lakes resricted ,1,2023-08-23 14:48:25,8,lake
123,29593,1282,27469,93662,maintaining current views of the lakes,1,2023-08-23 14:48:51,7,lake
126,29596,1282,27468,93674,I've tried to indicate the bare hills. I'd quite like to see them as they may have been before farmers and sheep,1,2023-08-23 15:03:04,9,farmer
127,29597,1282,27469,93674,I don't wish to see housing lost to trees,1,2023-08-23 15:04:08,9,housing
130,29600,1282,27468,93676,more trees on the lower slopes of the hills but must be 'local' ,1,2023-08-23 15:18:39,5,
131,29601,1282,27469,93676,on the very tops of hills,1,2023-08-23 15:19:07,4,
134,29604,1282,27468,93677,"These are area I assume would naturally have trees, but I may be wrong.",1,2023-08-23 15:49:52,4,
135,29605,1282,27469,93677,These are areas I assume would not naturally have trees.,1,2023-08-23 15:50:48,5,
137,29610,1282,27468,93690,"Trees have been removed from hills and mountains by intensive sheep grazing, which has reduced natural biodiversity and destroyed natural river catchments.  This has to be reversed!",1,2023-08-24 11:24:17,10,"grazing,river,biodiversity,catchment,sheep"
140,29613,1282,27468,93691,"These sites appeared to me as empty fields, Sites to the upper right and central and bottom left of the map I perceived to be hilltops where trees may not be suitable due to high winds/ rock/stone soils",1,2023-08-24 11:49:38,6,
141,29614,1282,27469,93691,These were areas I perceived to be high hilltop areas which I was not sure would be suitable for tree placement. High winds during autumn/ winter seasons and rocky soils could be unsuitable for tree species? Also rain runoff could maybe erode tree roots and cause uprooting??,1,2023-08-24 11:52:38,3,runoff
146,29619,1282,27468,93694,"linking the existing tree cover into one contiguous space, this will help the creation of a suitable habitat for a range of animals and plants and increase the carbon capture. trees need to be a diverse mix to encourage diverse environment.",1,2023-08-24 12:11:00,8,habitat
147,29620,1282,27468,93693,Only if they are native trees.  Could plant more on slopes to stop erosion and increase fauna habitat.,1,2023-08-24 12:13:31,4,"fauna,habitat"
148,29621,1282,27469,93693,Would probably not plant on top of the hills because of the topography and the beauty of the landscape.,1,2023-08-24 12:16:16,5,
151,29624,1282,27469,93698,no more trees needed...,1,2023-08-24 13:33:31,10,
160,29633,1282,27469,93707,To protect the views.,2,2023-08-24 15:57:56,10,
162,29635,1282,27469,93699,I  have selected around the village and also places around the lake where the views might be obstructed. When planting trees I think it will be impoortant to create managed viewpoints ,1,2023-08-24 15:58:29,5,"village,viewpoint,lake"
163,29636,1282,27468,93697,More trees for squirrel corridors,1,2023-08-24 15:59:10,8,corridor
164,29637,1282,27469,93697,Not a fan of covering the fells in trees. ,1,2023-08-24 15:59:55,7,
167,29640,1282,27468,93727,"There ought to be more trees everywhere generally, particularly on the mountainsides. trees on the fields closest to the lake may help lessen flooding in the area, and keep the valley cooler in hot weather - flooding and high temperatures will become more common in the near future, due to climate change",1,2023-08-25 09:42:10,7,"temperature,flooding,lake"
168,29641,1282,27469,93727,"Local farming needs land and resources, so it's important not the strip farmers of all their resources. Trees would also not survive well on the very tops of the fells",1,2023-08-25 09:43:41,4,"farmer,farming"
173,29646,1282,27468,93726,trees are helpful everywhere especially in the face of climate change! ,1,2023-08-25 09:54:45,10,climate
174,29647,1282,27468,93729,"I assume the mountains are naturally barren, but the lower regions have been more developed and could benefit from some rewilding. But if the mountains are also barren due to grazing, then more trees up there too! Basically, I like to see more trees where it's natural - and ecologically valuable - for them to be.",1,2023-08-25 09:55:46,6,"barren,rewilding"
180,29653,1282,27468,93734,everywhere,1,2023-08-25 11:27:11,8,
182,29655,1282,27468,93732,Areas of open space,1,2023-08-25 11:29:17,5,
183,29656,1282,27468,93732,Area of open space,2,2023-08-25 11:29:40,6,
186,29659,1282,27468,93742,just a guess,1,2023-08-25 11:49:02,2,
191,29664,1282,27468,93741,Unforested areas. Unsure as this would create a different landscape.,1,2023-08-25 12:06:12,2,
192,29665,1282,27469,93741,Part of me would like to keep the scenery as wonderful as it is. In contrast to what I perceive as good for the environment.,1,2023-08-25 12:08:14,5,
193,29666,1282,27468,93743,not conifer indigenous native treesbest,1,2023-08-25 12:09:31,5,
196,29669,1282,27468,93745,"THis is a difficult question. Trees would probably enhance the ecosystem, but changes in what is perceived as 'how the Lake District' looks would be controversial.",2,2023-08-25 13:28:09,5,"lake,ecosystem"
202,29675,1282,27468,93744,uphill to reduce erosion,1,2023-08-25 14:17:34,7,
204,29677,1282,27469,93744,keep the fields open,1,2023-08-25 14:19:04,7,
205,29678,1282,27468,93747,"on the sides of the fells, where we see the sheep today as well as ferns instead of trees.",1,2023-08-25 14:19:11,8,
206,29679,1282,27469,93749,in the summits,1,2023-08-25 14:20:38,10,
207,29680,1282,27469,93747,where there are already trees and where the land is used for agricultural purposes (maybe that land is needed for someone's livelihood ?),1,2023-08-25 14:23:22,5,
210,29683,1282,27468,93752,"Would be nice to increase some of the existing woodland areas. Not everywhere is suitable for woodland growth, and personally, I do like the bare landscape as well.",1,2023-08-25 14:41:19,8,
211,29684,1282,27469,93752,I'd like some new mixed woodland but there are a couple of spots where I'd like to keep some unwooded areas.,1,2023-08-25 14:51:02,6,
215,29688,1282,27468,93754,"Around the lakes - it just looks so beautiful seeing trees next to water, and along roads to reduce noise pollution. ",1,2023-08-25 15:10:29,8,"noise,road,lake,pollution"
217,29690,1282,27469,93754,"Trees on top of the fells would prevent good views, but of course this is a slightly superficial claim. ",1,2023-08-25 15:11:11,3,
218,29691,1282,27468,93751,along the lake to support reduction of noise pollution,1,2023-08-25 15:11:55,10,"pollution,lake,noise"
224,29697,1282,27468,93774,The fells are amazing - but not particularly biodiverse so extending the tree line would be a decent balance. I've assumed that native trees would be growing.,1,2023-08-26 11:06:22,5,biodiverse
225,29698,1282,27469,93774,,1,2023-08-26 11:07:27,9,
227,29700,1282,27468,93773,"It would be good to see more trees for wildlife, and to reduce flooding. I don't really know how high up trees will happily grow!",1,2023-08-26 11:12:49,2,wildlife
228,29701,1282,27469,93773,"Not in the lakes, obviously. And maybe not on the very tops of the hills. Although maybe how well that would work would depend on how densely planted they are.",1,2023-08-26 11:14:26,3,lake
233,29706,1282,27469,93776,"on the top of the fells. it would not be in keeping with the structure, area.",1,2023-08-26 11:46:48,8,
234,29707,1282,27468,93775,"Although I'm not especially familiar with Lakeland landscapes, I imagine that the fells once had many more trees which have declined due to human management of the landscape. It would be nice to restore these in some places.",1,2023-08-26 11:47:15,6,
235,29708,1282,27469,93775,I think trees are very valuable and so I don't think there are areas I'd prefer not to see trees where trees are able to grow.,1,2023-08-26 11:48:10,10,
241,29714,1282,27468,93781,Natural forest and manicured planting ,2,2023-08-26 13:01:25,8,
243,29716,1282,27469,93781,Hills and clear grazing needed ,1,2023-08-26 13:01:54,6,grazing
246,29719,1282,27468,93780,As much as possible in towns and villages etc,1,2023-08-26 13:04:16,8,village
247,29720,1282,27469,93780,Around the edge of lakes - spoils view and access,1,2023-08-26 13:05:17,10,lake
257,29730,1282,27468,93785,Where it won't affect views too much but would add benefits of woodland,1,2023-08-26 14:49:05,7,
259,29732,1282,27469,93785,"Allow people to get near the water and see views of it, don't cut off with trees.  
Don't affect the views of the fell tops which people like to see from a distance.",1,2023-08-26 14:51:26,5,
261,29734,1282,27468,93786,Anywhere that there's no trees,1,2023-08-26 14:53:24,5,
262,29735,1282,27469,93786,In places where trees can't be planted or where is wouldn't make sense to put them (e.g. i the middle of a road).,1,2023-08-26 14:55:15,5,road
268,29746,1282,27468,93808,Making the forest areas bigger.,1,2023-08-27 12:18:53,8,
269,29747,1282,27468,93810,i like walking though trees and they look nice,1,2023-08-27 12:19:47,7,
270,29748,1282,27469,93808,These areas are higher so trees would block views.,1,2023-08-27 12:20:05,8,
271,29749,1282,27469,93810,at the top of hills you want a nice veiw,1,2023-08-27 12:20:52,7,
275,29753,1282,27468,93817,I THINK THAT SOME OF THE FLATTER AREAS COULD HAVE MORE TREES PLANTED ON THEM.,1,2023-08-27 12:29:52,6,
277,29755,1282,27468,93816,To block out physical human activity and reduce noise pollution of traffic,1,2023-08-27 12:30:58,9,pollution
278,29756,1282,27469,93816,"Farming land
& 
High altitude areas where trees would not survive or would be invasive ",1,2023-08-27 12:32:03,10,
282,29760,1282,27468,93819,I think more trees would be beneficial in areas where there aren't that many. ,1,2023-08-27 12:38:14,5,
284,29762,1282,27469,93819,It would be a shame to cover up the lake with forestry.,1,2023-08-27 12:39:01,5,lake
285,29763,1282,27468,93818,"Over cultivated land, allowing for more ecosystems to grow and flourish",1,2023-08-27 12:39:11,8,ecosystem
286,29764,1282,27469,93818,Places where the unique ecosystem has already been established,1,2023-08-27 12:40:01,6,ecosystem
290,29768,1282,27468,93820,Enough for wildlife but not spoiling mountain views,1,2023-08-27 13:16:09,5,wildlife
292,29770,1282,27469,93820,"High peaks, rugged rocks and beautiful views",1,2023-08-27 13:18:56,5,
293,29771,1282,27468,93821,"I don't want to spoil the views of the area or impose upon the economically useful land of farmers. I think thicker, denser forests that can become more wild with less human input would be beneficial.",1,2023-08-27 13:21:27,6,farmer
294,29772,1282,27469,93821,"Don't want to spoil the views or damage the economic viability of the area or negatively effect peoples livelihoods. However, I think more trees are a necessity in any landscape and striking the economic/environmental landscape.",1,2023-08-27 13:24:50,3,
297,29775,1282,27469,93824,,1,2023-08-27 15:15:16,1,
301,29779,1282,27468,93823,More trees along roads,1,2023-08-27 15:17:59,8,road
302,29780,1282,27469,93823,Preference to keep the peaks free from trees / they're more difficult to plant,1,2023-08-27 15:18:38,6,
307,29785,1282,27468,93840,"more dense woodland to break up roads and towns, giving more tranquility ",1,2023-08-27 15:33:30,7,road
308,29786,1282,27468,93839,Some more areas of trees around some of the lake and town. Not sure if steep hill areas need more trees,1,2023-08-27 15:33:55,5,lake
309,29787,1282,27469,93840,keeping the tops of the hills naturally open to preserve its natural beauty,1,2023-08-27 15:34:17,4,
310,29788,1282,27469,93839,Higher ground and near some of the lake areas.,1,2023-08-27 15:34:44,3,lake
312,29794,1282,27468,93876,"I'd like to see trees and montane vegetation returned to the fells up to the natural tree line.
Riparian corridors, gullies and lake edge. Native broadleaf with native conifer eg Scots Pine, montane scrub and native ground flora. Wood pasture.",2,2023-08-29 09:35:47,10,"scrub,corridor,pasture"
313,29795,1282,27469,93878,"I'd be wary of replanting large trees immediately adjacent to A591. Increasing frequency of severe storm conditions and disease makes our main road through the lakes vulnerable to road closures caused by fallen trees. eg Aftermath of storm Desmond had severe impacts for local residents when road was closed for 5 months. I'd like to see tree/scrub cover higher up the fells and and adjacent to watercourses to alleviate flood risk lower down. Currently, a lot of the floodwater that rushes down off off the fells is a result of overgrazing and lack of appropriate vegetative cover to slow the flow of water. I'd love to see Beavers re-introduced as part of land management changes in the Lakes to contribute to flood mitigation and habitat restoration. ",1,2023-08-29 09:42:43,5,"floodwater,flood,lakes,overgrazing,habitat,road,lake"
316,29798,1282,27468,93875,Around the valleys,1,2023-08-29 09:59:32,5,
318,29800,1282,27468,93879,"have always been a stalwart of Hazel with standards.  mixed deciduous woodland with glades  so manage our woodlands and using local crafts people to sell the produce.  lets produce our own charcoal, wild life corridoors",1,2023-08-29 10:23:52,9,corridoors
319,29801,1282,27469,93879,"grazing farmland, viewpoints, tops of mountains",1,2023-08-29 10:27:18,10,"farmland,viewpoint"
324,29806,1282,27468,93882,"I'd love to see more trees everywhere, and believe it would help to reduce the impact of flooding on the villages and towns ",1,2023-08-29 10:43:09,10,village
327,29809,1282,27468,93883,Native hardwood treeplanting is amongst the most important and urgent things we can do; I'd like to see treeplanting as a systemic cultural activity. ,1,2023-08-29 10:50:53,9,
329,29811,1282,27468,93884,screen for car park,1,2023-08-29 11:07:15,6,"park,screen"
330,29812,1282,27469,93884,,1,2023-08-29 11:08:02,6,
332,29814,1282,27468,93886,Perhaps in areas where there are already trees and these could be extended,1,2023-08-29 11:11:40,6,
333,29815,1282,27468,93885,I would like to see more trees on and around the village itself to keep the local area beautiful.,1,2023-08-29 11:13:09,7,village
337,29819,1282,27468,93887,,1,2023-08-29 11:27:54,7,
340,29822,1282,27468,93894,trees are so important right now as we have lost lots to disease etc,1,2023-08-29 12:25:41,9,
344,29826,1282,27468,93889,,1,2023-08-29 12:27:41,7,
346,29828,1282,27468,93890,on slopes to stop erosion,1,2023-08-29 12:28:51,6,
347,29829,1282,27469,93890,Agricultural land ,1,2023-08-29 12:29:43,6,
350,29832,1282,27469,93896,,1,2023-08-29 12:35:54,9,
356,29838,1282,27468,93898,lowland ,1,2023-08-29 13:00:02,1,
358,29840,1282,27468,93899,Trees important for helping clean the air but can blow down in storms so need to be careful near dwellings,1,2023-08-29 13:02:19,7,"dwelling,air"
359,29841,1282,27469,93899,Trees welcome everywhere except very close to dwelling houses,1,2023-08-29 13:03:56,9,
363,29845,1282,27468,93903,Increase the number of trees in the areas currently wooded. Leave the higher areas to nature. This is probably what you would do anyway.,1,2023-08-29 13:11:07,8,
368,29850,1282,27468,93904,Trees at high elevation,1,2023-08-29 13:33:40,7,
370,29852,1282,27469,93904,farmland,1,2023-08-29 13:34:10,5,farmland
372,29854,1282,27468,93905,"more trees where possible is good, as long as they are not detrimental to the environment in any way.",1,2023-08-29 13:36:40,6,
373,29855,1282,27468,93906,"I believe we need more trees around the lakes for better views and nicer walks, I also think we need to plant more trees around the base of the hills it looks nice, we shouldn't put to many trees too high up the hills as it will obstruct views from the top",1,2023-08-29 13:37:18,8,lake
374,29856,1282,27469,93906,it will obstruct views from the top of the hills.,1,2023-08-29 13:38:11,8,
379,29861,1282,27469,93909,,1,2023-08-29 13:48:16,10,
382,29864,1282,27468,93913,,1,2023-08-29 14:00:21,7,
385,29867,1282,27469,93913,None on the footpaths but on the side of them is fine.,1,2023-08-29 14:03:24,9,
388,29870,1282,27469,93912,you should be able to see all the beauty of the mountains ,1,2023-08-29 14:05:21,7,
390,29872,1282,27468,93910,Placed in built areas. ,1,2023-08-29 14:06:17,5,
392,29874,1282,27469,93910,Surrounding bodies of water. ,1,2023-08-29 14:06:57,5,
393,29875,1282,27468,93914,Mostly trees where there are none. Trees important for environment.,1,2023-08-29 14:10:18,10,
394,29876,1282,27469,93914,Just along main road for safety. ,1,2023-08-29 14:11:02,10,"road,safety"
399,29881,1282,27468,93917,there is already alot of trees around this area ,1,2023-08-29 14:43:49,4,
400,29882,1282,27469,93917,we feel that all the trees will block the views of the mountains and lakes,1,2023-08-29 14:47:41,9,lake
403,29885,1282,27468,93920," more in farmers fields 10% of the field apparently this is ongoing, more where there are none for pollution preveniotn ",1,2023-08-29 15:05:00,9,"pollution,farmer"
404,29886,1282,27469,93920,no more on the isalnd to stop overgrowth of habitats underneath and inot the water habitat ,1,2023-08-29 15:06:01,2,"habitat,isalnd"
408,29890,1282,27468,93916,,1,2023-08-29 15:08:12,9,
410,29892,1282,27468,93921,On the farms if there are animal farms. ,1,2023-08-29 15:09:34,6,farm
413,29895,1282,27468,93922,,1,2023-08-29 15:14:12,5,
416,29898,1282,27468,93926,Areas where we might need to prevent erosion ,1,2023-08-29 15:22:15,2,
417,29899,1282,27469,93926,Tops of mountains and near to the village as this would affect the views (sounds selfish I know!) ,1,2023-08-29 15:23:37,4,village
424,29906,1282,27469,93948,Not on open fells,1,2023-08-30 09:54:09,10,
425,29907,1282,27468,93950,in valleys,1,2023-08-30 09:54:55,7,
428,29910,1282,27468,93952,I would like more trees in the valleys. I don't think that it is practical to put trees in the fields which are used for hay or silage or grazing.,1,2023-08-30 10:06:48,5,grazing
429,29911,1282,27469,93952,I enjoy the view from the tops of the hills. I don't want trees up there.,1,2023-08-30 10:07:56,5,
436,29918,1282,27468,93954,I want more trees because I want less Carbon Dioxide,1,2023-08-30 10:24:21,10,
441,29923,1282,27468,93958,,1,2023-08-30 10:40:29,6,
442,29924,1282,27468,93956,,2,2023-08-30 10:42:39,6,
443,29925,1282,27468,93956,,3,2023-08-30 10:43:45,5,
449,29931,1282,27468,93965,anywhere its possible to plant it for oxygen,1,2023-08-30 12:44:01,6,oxygen
450,29932,1282,27469,93965,not in human  habitats,1,2023-08-30 12:44:56,3,habitat
453,29935,1282,27468,93969,More trees as the natural habitat for the conservation of the red squirrels near allan bank,1,2023-08-30 13:14:57,8,"conservation,habitat"
455,29937,1282,27469,93969,Just the concern of trees falling into the road during the winter ,1,2023-08-30 13:15:59,7,road
457,29939,1282,27468,93960,I feel there are lots trees as there is,1,2023-08-30 13:20:37,6,
460,29942,1282,27468,93970,expand areas on lower levels,1,2023-08-30 13:40:00,6,
462,29944,1282,27469,93970,"not on hill tops, not on road side - creates danger to traffic",1,2023-08-30 13:41:01,5,road
464,29946,1282,27468,93971,Where there is a low likelihood of human interference and low impact on the habitat i.e. grassland,1,2023-08-30 13:43:43,10,"interference,habitat"
465,29947,1282,27469,93971,This looks like arable land which is important for our country.,1,2023-08-30 13:44:19,5,
467,29949,1282,27468,93973,everywhere except fell tops,2,2023-08-30 13:52:05,8,
470,29952,1282,27468,93974,Not too close to residential areas.,1,2023-08-30 14:14:00,7,
471,29953,1282,27469,93974,Not close to houses,1,2023-08-30 14:14:59,8,
475,29957,1282,27468,93972,Higher areas of the landscape although this would change the character of the area.,1,2023-08-30 14:36:39,4,
477,29959,1282,27469,93972,Around the lake as this would impact on views.,1,2023-08-30 14:37:20,7,lake
478,29960,1282,27468,93975,I think that planting trees is necessary for climate reasons. But it will change the landscape  and make it less attractive. Higher ground planting is preferable,1,2023-08-30 14:40:07,9,climate
479,29961,1282,27469,93975,I think that more trees near to the village would spoil the beauty of the village and the views of the lakes.,1,2023-08-30 14:42:57,7,"village,lake"
484,29966,1282,27468,93977,help flood mitigatiom,1,2023-08-30 14:56:48,6,flood
485,29967,1282,27469,93977,they do not need it,1,2023-08-30 14:58:57,6,
488,29975,1282,27468,94002,little bit more woodland for habitat at a couple of areas for wind breaks and to help with soil erosion,1,2023-08-31 10:35:20,10,habitat
490,29977,1282,27469,94002,"on the tops of the mountains, habitat isn't suitable with current climate",1,2023-08-31 10:36:14,9,climate
492,29979,1282,27468,94003,,1,2023-08-31 10:36:48,3,
495,29982,1282,27468,94005,around the base and sides of the surrounding mountains,1,2023-08-31 10:42:03,6,
498,29985,1282,27468,94007,"I should like to see more trees at the bottom of the pikes/mountains so they don't interfere with the views but also in the area, the soil won't always permit the growth of trees",1,2023-08-31 10:50:59,6,
499,29986,1282,27469,94007,"Will interfere with the character of the place greatly if trees are planted at the top or on the pikes, possibly affecting tourism in the area.",1,2023-08-31 10:52:26,7,
503,29990,1282,27468,94010,I'd like the landscape here to be wilder and more biodiverse and I think trees would support that. I've tried to leave the high fells clearer because the views are so amazing from there.,1,2023-08-31 11:03:14,7,biodiverse
504,29991,1282,27469,94010,Trying to keep some areas clear for high level views. Maybe also to allow sheep farming in some areas if it can be compatible with more biodiversity,1,2023-08-31 11:05:10,7,"farming,biodiversity"
506,29993,1282,27468,94006,"near and along all rivers. helping to prevent flooding and scattered to minimise erossion.
cover to wildlife.
homes for wildlife.
",1,2023-08-31 11:11:16,6,"river,wildlife,flooding,erossion"
509,29996,1282,27468,94011,More single trees in farmland,1,2023-08-31 11:18:38,8,farmland
514,30001,1282,27468,94012,I prefer mountains with trees ,1,2023-08-31 11:48:15,9,
515,30002,1282,27468,94013,,1,2023-08-31 11:48:42,5,
518,30005,1282,27468,94017,It is perfect as it is. More trees would make the landscape a little less dramatic.,1,2023-08-31 11:58:58,5,
522,30009,1282,27468,94016,soften manmade spaces and poor planning decisions,1,2023-08-31 12:16:05,7,
523,30010,1282,27469,94016,private housing estates need to be more sympathetic  ,1,2023-08-31 12:17:14,6,housing
525,30012,1282,27468,94018,"Maybe at lower level around the lakes, at higher level i feel they should be left to grow naturally.",1,2023-08-31 12:21:21,7,lake
526,30013,1282,27469,94018,Areas i have marked i feel should be left for areas of natural growth.,1,2023-08-31 12:22:55,7,
529,30016,1282,27468,94021,,1,2023-08-31 12:41:33,2,
530,30017,1282,27469,94021,To maintain the views from Allan Banks and from the village,1,2023-08-31 12:42:15,5,village
533,30020,1282,27468,94020,,1,2023-08-31 12:44:42,5,
538,30025,1282,27468,94022,More trees on the lower areas ,1,2023-08-31 12:58:36,7,
540,30027,1282,27468,94023,Trees help to prevent erosion and flooding,1,2023-08-31 13:03:33,7,flooding
542,30029,1282,27468,94014,"As before... rescaping is necessary to ensure sustainability, support he slowing of climate change and ultimately preserve the landscape and region",1,2023-08-31 13:09:05,9,"sustainability,climate"
545,30032,1282,27468,94024,"expand existing areas of woodland, rather than plantng on open fells",1,2023-08-31 13:13:21,9,
546,30033,1282,27469,94024,we need open fells ,1,2023-08-31 13:14:22,10,
550,30037,1282,27468,94028,everywhere because the sheep have eaten so much vegetation,1,2023-08-31 13:30:39,9,sheep
553,30040,1282,27468,94029,Focusing on upland areas to slow the flow of water and reduce flooding further downstream,1,2023-08-31 13:49:44,7,
554,30041,1282,27469,94029,In the village,1,2023-08-31 13:50:23,7,village
557,30044,1282,27468,94030,"slight expansion of exsiting forest areas (need more trees!), but valuing that also need to maintain high ground & variety of habitats",1,2023-08-31 14:00:15,9,"expansion,habitat"
558,30045,1282,27469,94030,"some areas unstuiable, maintaining farmland (local income)",1,2023-08-31 14:01:21,5,farmland
561,30048,1282,27468,94027,I'm guessing that you wouldn't be able to increase the number of trees at the highest points so I have sprayed around the wooded areas where I think these might be able to be made larger areas of trees.,1,2023-08-31 14:10:26,7,
562,30049,1282,27469,94027,I really don't know - I don't mind there being more trees in the landscape so I wouldn't say there's anywhere I wouldn't want trees apart for the lakes.,1,2023-08-31 14:12:44,6,lake
567,30054,1282,27468,94032,"An idealist answer, but anywhere there is farming. ",1,2023-08-31 15:30:05,6,
568,30055,1282,27468,94031,Possibly on the slopes to slow water run off and stablelise some slopes.  Also to help prevent flood risk.  Tasked a bit of science to work this out so my spraying is just a guese,1,2023-08-31 15:30:52,8,flood
569,30056,1282,27469,94032,Where they would not be welcome. ,1,2023-08-31 15:30:54,6,
570,30057,1282,27469,94031,Where they wont survive or are the wrong species for the area.,1,2023-08-31 15:31:54,9,
575,30065,1282,27468,94210,Fill out existing tree areas/replace fallen trees,1,2023-09-05 09:50:57,2,
580,30070,1282,27469,94212,it make feel like am in the country side,1,2023-09-05 09:58:47,10,
581,30071,1282,27468,94211,more land cover,3,2023-09-05 09:59:27,4,
582,30072,1282,27469,94211,natural view,1,2023-09-05 09:59:53,3,
